fullname,year,WDC_year,name.x,total_driver_wins,total_races,cons_winner,total_constructor_wins,prop_dr_wins,prop_cons_wins
Alain Prost,1985,TRUE,McLaren,5,16,McLaren,6,0.3125,0.375
Alain Prost,1986,TRUE,McLaren,4,16,Williams,9,0.25,0.5625
Alain Prost,1989,TRUE,McLaren,4,16,McLaren,10,0.25,0.625
Alain Prost,1993,TRUE,Williams,7,16,Williams,10,0.4375,0.625
Alan Jones,1980,TRUE,Williams,5,14,Williams,6,0.35714285714285715,0.42857142857142855
Alberto Ascari,1952,TRUE,Ferrari,6,8,NA,NA,0.75,NA
Alberto Ascari,1953,TRUE,Ferrari,5,9,NA,NA,0.5555555555555556,NA
Ayrton Senna,1988,TRUE,McLaren,8,16,McLaren,15,0.5,0.9375
Ayrton Senna,1990,TRUE,McLaren,6,16,Ferrari,6,0.375,0.375
Ayrton Senna,1990,TRUE,McLaren,6,16,McLaren,6,0.375,0.375
Ayrton Senna,1991,TRUE,McLaren,7,16,McLaren,8,0.4375,0.5
Damon Hill,1996,TRUE,Williams,8,16,Williams,12,0.5,0.75
Denny Hulme,1967,TRUE,Brabham-Repco,2,11,Brabham-Repco,4,0.18181818181818182,0.36363636363636365
Denny Hulme,1967,TRUE,Brabham-Repco,2,11,Lotus-Ford,4,0.18181818181818182,0.36363636363636365
Emerson Fittipaldi,1972,TRUE,Team Lotus,5,12,Team Lotus,5,0.4166666666666667,0.4166666666666667
Emerson Fittipaldi,1974,TRUE,McLaren,3,15,McLaren,4,0.2,0.26666666666666666
Fernando Alonso,2005,TRUE,Renault,7,19,McLaren,10,0.3684210526315789,0.5263157894736842
Fernando Alonso,2006,TRUE,Renault,7,18,Ferrari,8,0.3888888888888889,0.4444444444444444
Fernando Alonso,2006,TRUE,Renault,7,18,Renault,8,0.3888888888888889,0.4444444444444444
Graham Hill,1962,TRUE,BRM,4,9,BRM,4,0.4444444444444444,0.4444444444444444
Graham Hill,1968,TRUE,Lotus-Ford,3,12,Lotus-Ford,5,0.25,0.4166666666666667
Jack Brabham,1959,TRUE,Cooper-Climax,2,9,Cooper-Climax,2,0.2222222222222222,0.2222222222222222
Jack Brabham,1960,TRUE,Cooper-Climax,5,10,Cooper-Climax,6,0.5,0.6
Jack Brabham,1966,TRUE,Brabham-Repco,4,9,Brabham-Repco,4,0.4444444444444444,0.4444444444444444
Jackie Stewart,1969,TRUE,Matra-Ford,6,11,Matra-Ford,6,0.5454545454545454,0.5454545454545454
Jackie Stewart,1971,TRUE,Tyrrell,6,11,Tyrrell,6,0.5454545454545454,0.5454545454545454
Jackie Stewart,1973,TRUE,Tyrrell,5,15,Tyrrell,5,0.3333333333333333,0.3333333333333333
